,Dish,Meta,URL,Pic,Ingredients,Quantities,times
0,BUTTERNUT SQUASH RIGATONI,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/butternut-squash-rigatoni,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5e1739d641d1895d961deb5e/1578661204207/9K8A0963.jpg,"400g Rigatoni
1 Butternut Squash
100g of Parmesan
4 Shallots
3 Cloves of Garlic
Handful of Parsley
90ml of Milk
Salt
Pepper 
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 1 Hour
1,HASSELBACK BUTTERNUT SQUASH,VEGGIE MOB,http://www.mobkitchen.co.uk/recipes/hasselback-butternut-squash,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5e1484983f8ed65e2080f322/1578518904397/9K8A1007.jpg,"2 Large Butternut Squash
1 Red Chilli
70g Flaked Almonds
50g Feta
Large Bunch of Parsley
Large Bunch of Mint
1 Tsp Dried Oregano
5 Tbsp Red Wine Vinegar
2 Tbsp Capers
1 Red Onion
Olive Oil
Salt 
Pepper",Feeds: 4 People,Cooking Time (Includes Preparation Time): 55 Minutes
2,MOB'S TARTIFLETTE,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/mobs-tartiflette,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5df8c97d10f0f54598c496eb/1578379347744/Screen+Shot+2019-12-17+at+13.42.16.png,"1kg Potatoes
2 Onions
2 Cloves of Garlic
160g Diced Pancetta 
187ml Bottle of White Wine
400g of Brie (2 Blocks)
300ml Double Cream 
Green Salad 
100g Cornichons
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 1 hour 15 mins
3,ROASTED ROOT VEGETABLE CURRY,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/roasted-root-vegetable-curry,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5df8ca76c3d30c78a46f4925/1578056422538/9K8A1980+%281%29.jpg,"500g Parsnips 
500g Carrots  
2 Sweet Potatoes
2 Tbsp Curry Powder 
1 Onion 
1 Bunch of Coriander 
2 Cloves of Garlic 
Knob of Ginger
1 Green Chilli 
2 x 400ml Tins Coconut Milk 
1 Lime 
50g of Toasted Flaked Almonds
400g of Rice
Salt 
Pepper 
Olive Oil",Feeds: 4 People,Cooking time (Includes Preparation Time): 55 minutes
4,MOB'S BUFFALO WINGS,FAKEAWAY MOB,http://www.mobkitchen.co.uk/recipes/buffalo-wings,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5df8c3523d69ea478ca76e5d/1577880054382/9K8A2202.jpg,"1 kg Chicken Wings
1 Tbsp of Baking Powder
300g of Extra Mature Cheddar Cheese
Bunch of Chives
75g of Butter
1/2 Tsp of Cayenne Pepper
148ml Bottle Frank’s Original Pepper Hot Sauce
2 Tsp of Worcestershire Sauce
300ml of Sour Cream
Salt
Pepper",Feeds: 4 People,Cooking Time (Includes Preparation Time): 50 Minutes
5,LEFTOVER HAM AND BRIE FOLDED FLATBREADS,MOB MUNCHIES,http://www.mobkitchen.co.uk/recipes/ham-brie-flatbreads,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dfb5dafa9126333859e463b/1577738551937/9K8A9942.jpg,"200g of Brie
4-5 Slices of Leftover Ham
4 Tbsp of Caramelised Onion Chutney
4 Deli Kitchen Brioche Folded Flatbreads
1 Knob of Butter",Feeds: 4 People ,Cooking Time (Includes Preparation Time): 15 Minutes 
6,LEFTOVER TURKEY AND HALLOUMI GYROS,MEAL PREP MOB,http://www.mobkitchen.co.uk/recipes/turkey-halloumi-gyros,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dfb624b0fcfd12e7e7753d1/1577451620845/9K8A9881.jpg,"500g Leftover Turkey (white or dark meat)
500g of Greek Yoghurt
3 Cloves of Garlic
3 Tsp of Oregano
1 Tsp of Chilli Flakes
1 Cucumber
Half a Lemon
Bunch of Mint
225g of Halloumi
4 Deli Kitchen Greek Style Flatbreads
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 45 Minutes 
7,WHOLE BAKED CAMEMBERT,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/whole-baked-camembert,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dfb93631bce8b17042c5c40/1577019620444/9K8A1916.jpg,"500g of Red Grapes
1 ½ Tsp of Chilli Flakes
1 Camembert (250g) - Make sure to buy it in its wooden box
1 Large Ciabatta
100g of Butter
4 Garlic Cloves
2 Tbsp of Balsamic Vinegar
Salt
Pepper
Olive Oil",Feeds: 4 People,Cooking time (Including Preparation Time): 35 minutes
8,BARNEY ARTIST'S ROLEX AND BEANS,GUEST MOB,http://www.mobkitchen.co.uk/recipes/barney-artists-rolex-and-beans,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dcd388dc05f010766be8098/1576855270581/9K8A7186.jpg,"250g Plain Flour
800g Kidney Beans
3 Cloves of Garlic
1 Vegetable Stock Pot
1/4 Tsp of Turmeric
3 Tomatoes
Bunch of Coriander
Bunch of Basil
3 Onions
1 Green Chilli
1 Red Pepper
6 Eggs
Salt
Sunflower Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 1 Hour
9,LEFTOVER ROAST VEGGIE FOCACCIA,SPEEDY MOB,http://www.mobkitchen.co.uk/recipes/leftover-veggie-focaccia,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5df9f1ef44ef5328d8088520/1576846805630/9K8A9689.jpg,"600g of Leftover Roast Vegetables
2 Tbsp of Basil Pesto
1 Tsp of Chilli Flakes
250g of Chilli Jam
4 Deli Kitchen Sliced Focaccia 
Olive Oil",Feeds: 4 People ,Cooking Time (Includes Preparation Time): 25 Minutes  
