,Dish,Meta,URL,Pic,Ingredients
0,HASSELBACK BUTTERNUT SQUASH,VEGGIE MOB,http://www.mobkitchen.co.uk/recipes/hasselback-butternut-squash,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5e1484983f8ed65e2080f322/1578518904397/9K8A1007.jpg,"2 Large Butternut Squash
1 Red Chilli
70g Flaked Almonds
50g Feta
Large Bunch of Parsley
Large Bunch of Mint
1 Tsp Dried Oregano
5 Tbsp Red Wine Vinegar
2 Tbsp Capers
1 Red Onion
Olive Oil
Salt 
Pepper"
1,MOB'S TARTIFLETTE,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/mobs-tartiflette,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5df8c97d10f0f54598c496eb/1578379347744/Screen+Shot+2019-12-17+at+13.42.16.png,"1kg Potatoes
2 Onions
2 Cloves of Garlic
160g Diced Pancetta 
187ml Bottle of White Wine
400g of Brie (2 Blocks)
300ml Double Cream 
Green Salad 
100g Cornichons
Salt
Pepper
Olive Oil"
2,ROASTED ROOT VEGETABLE CURRY,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/roasted-root-vegetable-curry,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5df8ca76c3d30c78a46f4925/1578056422538/9K8A1980+%281%29.jpg,"500g Parsnips 
500g Carrots  
2 Sweet Potatoes
2 Tbsp Curry Powder 
1 Onion 
1 Bunch of Coriander 
2 Cloves of Garlic 
Knob of Ginger
1 Green Chilli 
2 x 400ml Tins Coconut Milk 
1 Lime 
50g of Toasted Flaked Almonds
400g of Rice
Salt 
Pepper 
Olive Oil"
3,MOB'S BUFFALO WINGS,FAKEAWAY MOB,http://www.mobkitchen.co.uk/recipes/buffalo-wings,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5df8c3523d69ea478ca76e5d/1577880054382/9K8A2202.jpg,"1 kg Chicken Wings
1 Tbsp of Baking Powder
300g of Extra Mature Cheddar Cheese
Bunch of Chives
75g of Butter
1/2 Tsp of Cayenne Pepper
148ml Bottle Frank’s Original Pepper Hot Sauce
2 Tsp of Worcestershire Sauce
300ml of Sour Cream
Salt
Pepper"
4,LEFTOVER HAM AND BRIE FOLDED FLATBREADS,MOB MUNCHIES,http://www.mobkitchen.co.uk/recipes/ham-brie-flatbreads,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dfb5dafa9126333859e463b/1577738551937/9K8A9942.jpg,"200g of Brie
4-5 Slices of Leftover Ham
4 Tbsp of Caramelised Onion Chutney
4 Deli Kitchen Brioche Folded Flatbreads
1 Knob of Butter"
5,LEFTOVER TURKEY AND HALLOUMI GYROS,MEAL PREP MOB,http://www.mobkitchen.co.uk/recipes/turkey-halloumi-gyros,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dfb624b0fcfd12e7e7753d1/1577451620845/9K8A9881.jpg,"500g Leftover Turkey (white or dark meat)
500g of Greek Yoghurt
3 Cloves of Garlic
3 Tsp of Oregano
1 Tsp of Chilli Flakes
1 Cucumber
Half a Lemon
Bunch of Mint
225g of Halloumi
4 Deli Kitchen Greek Style Flatbreads
Salt
Pepper
Olive Oil"
6,WHOLE BAKED CAMEMBERT,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/whole-baked-camembert,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dfb93631bce8b17042c5c40/1577019620444/9K8A1916.jpg,"500g of Red Grapes
1 ½ Tsp of Chilli Flakes
1 Camembert (250g) - Make sure to buy it in its wooden box
1 Large Ciabatta
100g of Butter
4 Garlic Cloves
2 Tbsp of Balsamic Vinegar
Salt
Pepper
Olive Oil"
7,BARNEY ARTIST'S ROLEX AND BEANS,GUEST MOB,http://www.mobkitchen.co.uk/recipes/barney-artists-rolex-and-beans,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dcd388dc05f010766be8098/1576855270581/9K8A7186.jpg,"250g Plain Flour
800g Kidney Beans
3 Cloves of Garlic
1 Vegetable Stock Pot
1/4 Tsp of Turmeric
3 Tomatoes
Bunch of Coriander
Bunch of Basil
3 Onions
1 Green Chilli
1 Red Pepper
6 Eggs
Salt
Sunflower Oil"
8,LEFTOVER ROAST VEGGIE FOCACCIA,SPEEDY MOB,http://www.mobkitchen.co.uk/recipes/leftover-veggie-focaccia,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5df9f1ef44ef5328d8088520/1576846805630/9K8A9689.jpg,"600g of Leftover Roast Vegetables
2 Tbsp of Basil Pesto
1 Tsp of Chilli Flakes
250g of Chilli Jam
4 Deli Kitchen Sliced Focaccia 
Olive Oil"
9,MOB'S PERI PERI PIE,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/peri-peri-pie,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5df8c0392969387e13f1ab9b/1577101951085/PROPOSED+IMAGE.jpg,"2 Sheet of Jus-Rol Shortcrust Pastry
3 Peppers (2 Red, 1 Yellow)
8 Skinless, Boneless Chicken Thighs
2 Egg Yolks
2 Red Onion
3 Tsp of Oregano
400g of Kidney Beans (For Blind Baking)
3 Tsp of Smoked Paprika
3 Cloves of Garlic
2 Red Chillies
3 Tbsp of Plain Flour
500ml of Chicken Stock
2 Bay Leaves
1 Lemon
Salt
Pepper
Olive Oil"
10,MEATLESS SAUSAGE ROLLS,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/meatless-sausage-rolls,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5df7525634929a2cbf40785e/1576501216997/9K8A1207+%281%29.png,"1 Pack of Meatless Farm Mince
6 Shallots
1 Sheet of Vegan Puff Pastry
Handful of Sage
100g of Chestnuts
70g of Dried Apricots
1 Tbsp of Poppy Seeds
1/2 Tsp of Nutmeg
50ml of Oat Milk
Salt
Pepper
Olive Oil"
11,GOAT’S CHEESE AND PEAR TART,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/goats-cheese-pear-tart,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5df23eb7997bef3b2e0f0c4f/1576242060765/9K8A1090+%281%29.jpg,"3 Red Onions
Bunch of Thyme
1 Tbsp of Balsamic Vinegar
1 Tbsp of Caster Sugar
1 Can of Del Monte® Pear Halves in Juice
160g of Goat’s Cheese
320g Sheet of Puff Pastry
30g Rocket
80g Walnuts (Optional)
3 Tbsp of Semi-Skimmed Milk
1 Large Egg
Salt
Pepper
Olive Oil"
12,MOB'S STUFFING GNOCCHI,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/stuffing-gnocchi,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5df0d994c4c6bc16efcb9878/1576169776199/9K8A1492.jpg,"180g of Panko Breadcrumbs
1 Onion 
2 Celery Stalks 
3 Cloves of Garlic
Small Bunch of Rosemary 
6 Pork Sausages
1 Tsp Chilli Flakes 
750ml Chicken Stock 
2 x 500g Packs Fresh Gnocchi 
1 Lemon
Bunch of Parsley
Salt
Pepper
Olive Oil"
13,PESTO SAUSAGE ROLLS,MOB MUNCHIES,http://www.mobkitchen.co.uk/recipes/pesto-sausage-rolls,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dee25e85e5ce97f94f9d1bd/1576067342154/9K8A0502+%283%29.jpg,"1 Sheet of Jus-Rol Chilled Puff Pastry
1 Onion
2 Tbsp of Dried Rosemary
1 Tbsp of Fennel Seeds
1 Tbsp of Red Pesto
1 Ball of Mozzarella
6 Pork Sausages
3 Egg Yolks
Salt
Pepper
Olive Oil"
14,LEFTOVER TURKEY BÁNH MÌ,SPEEDY MOB,http://www.mobkitchen.co.uk/recipes/turkey-banh-mi,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5de918f8f8738501956930e2/1575648856121/banh+mi.jpg,"550g of Leftover Turkey
1 Heaped Tbsp of Lemongrass Paste
1 Heaped Tbsp of Ginger Paste
2 Cloves of Garlic
1 Tsp of Honey
2 Tbsp of Fish Sauce
4 Tbsp of Mayonnaise
4 Tbsp of Sriracha
1 Cucumber
2 Carrots
12 Radishes
1 Red Chilli
Bunch of Coriander 
3 Tbsp of White Wine Vinegar
100g of Chicken Pâté
2 Medium Baguettes
Vegetable Oil
Salt"
15,AUBERGINE AND RICOTTA PASTA⁠,FEED 4 FOR UNDER £10,http://www.mobkitchen.co.uk/recipes/aubergine-ricotta-pasta,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5de77aa2a6dd143c62696b75/1575545851817/9K8A0920+2.jpg,"2 Aubergines
6 Cloves of Garlic
2 Tins of Peeled Plum Tomatoes in Juice
Bunch of Basil
400g of Fusilli
250g of Ricotta
Salt
Pepper
Olive Oil"
16,HALLOUMI IN BLANKETS,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/halloumi-in-blankets,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5de4dfbcfa7dda768152e059/1575311945872/9K8A0402+%281%29.jpg,"2 Sheets of Jus-Rol Chilled Puff Pastry
2 Blocks of Halloumi
1 Tsp of Dried Dill
1 Tsp of Dried Oregano     
2 Tbsp of Harissa Paste
2 Tsp of Fennel Seeds
2 Egg Yolks
1 Cucumber
170g of Greek Yoghurt
1 Lemon
Bunch of Mint
Salt    
Pepper
Olive Oil"
17,SWEET N SOUR TOFU,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/sweet-sour-tofu,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dde5ea7a6666154ca901aa9/1575042516331/FINAL.jpg,"2 Packets of Naked Tofoo
1/2 a Pineapple
2 Tbsp Ketchup
1 Tbsp White Wine Vinegar
2 Tbsp of Sweet Chilli
400g of Rice
2 Peppers (Yellow and Red)
1 Onion
2 Spring Onions
6 Tbsp of Cornflour
Vegetable Oil"
18,CHORIZO BRUSSELS SPROUTS,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/chorizo-brussels-sprouts,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dde515951c72e2c5ed1ca81/1574873474445/%232.jpg,"800g of Brussels Sprouts
1 Chorizo Ring
100g of Almonds
Bunch of Parsley
2 Tbsp of Sherry Vinegar
Pepper"
19,VEGETABLE MELTING POTS,MOB MUNCHIES,http://www.mobkitchen.co.uk/recipes/vegetable-melting-pots,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dd65ea84cd12904862f8c8e/1574786722237/9K8A0034.jpg,"2 Seriously Melting Pots
2 Red Onions
2 Peppers (Red and Yellow)
1 Aubergine
1 Courgette
1 Tsp of Dried Rosemary
1 Tsp of Dried Oregano
5 Tbsp of Balsamic Glaze
Salt
Pepper
Olive Oil"
